,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Norma Fisher,Google’s Immersive Geospatial Challenge,HackSB 2022,YB Hackathon,Megathon by E-Cell IIIT-Hyderabad,The Hackathon 2020
Jorge Sullivan,Hack Dearborn: Disrupt Reality,Miami Buildathon,Kore.ai Botathon,Hack to the Future,TRON Grand Hackathon - Season 3
Elizabeth Woods,Hacks4Health,TechTogether Boston,Oxfam/IFRAD Hackathon,Hack the Change 2022,[CANCELED] PITBU! Leveraging Tech for Social and Work Immigration
Susan Wagner,API World Hackathon 2022,Hackerslack,AR VR FEST HACKATHON,Hack-A-League,Hydra Hacks III
Peter Montgomery,Google’s Immersive Geospatial Challenge,WiE Hackathon 2022,jacobsHack!2022,CUNY Hackathon Fall 2021,WebWonders Hackfest
Theodore Mcgrath,Startup Monterey Bay Hackathon,Sales Kickoff - International Hackathon,Hackathon Colombia,Sales Kickoff - Americas' Hackathon,2020 Tunisian Smart Cities Online Hackathon
Stephanie Collins,HackPrague 2021,MarinaHacks 2022,AR/VR Africa 2022 Metathon | Ethiopia,Genius Challenge,AT&T Next Gen TV Hackathon
Stephanie Sutton,Hack for the World 2022,QuHacks 2021,WHACK 2022,Hack-SA,HACK4ODISHA
Brian Hamilton,API World Hackathon 2022,ROBOHackIT 2022,The Freshworks Refresh App Challenge ,Foursquare Places Hackathon,EduLearn Hackathon(✧Free Goodies for All!✧)
Susan Levy,Google’s Immersive Geospatial Challenge,Kijiji Internal Hackathon,BadHacks 2023,Pega Community Hackathon 2022,NewHacks 2022
Sean Green,Cisco Meraki Global Hackathon 2022,Design~wave,DG Hack 01,Creations 2.0,SHPE 2021 Innovation Challenge 
Kimberly Smith,ETHLisbon,XRPL Hackathon 2021,Kyber DeFi Virtual Hackathon,COMIT Hackathon - Atomic Swaps for your Application,DeFi Hackathon
Jennifer Summers,tuwaiq bootcamp project,AstonHack8,Fitch 2022 Codeathon for Education,MATLAB Hackathon Uniroma2,AI & Music festival hackathon
April Snyder,TechTogether Boston,uXperience | Think Privacy,SF Global Progcomp,SMU LIT Hackathon 2022,Outside LLMs
Dana Nguyen,DeepDiveHacks,Slimplicity: Slim.AI Hackathon,Solve A Community Problem,Hackathon Deacero 2020,Hack Around The World
Cheryl Bradley,API World Hackathon 2022,Cosmos HackAtom VI ,Web3 Stack Hack,Microsoft Azure Innovation Challenge ,Slimplicity: Slim.AI Hackathon
Walter Pratt,API World Hackathon 2022,WeMakeDevs <> Stream Hackathon,Theta Hackathon Q3 2021,XRPL Hackathon: NFT Launch Party,Snap Spotlight Lensathon
Bobby Flores,CodeFest'21,"""Hello 8th Wall"" Workshop in Paris!",Hack the Valley 8,Horror Hacks 2023,AI Art Competition Sydney Australia
Tasha Rodriguez,API World Hackathon 2022,MetroHacks 2021,DevFest Eket 2023 - Ecosolutions,Treasure Hacks,HackUDC
Michelle Kelley,Google’s Immersive Geospatial Challenge,EUREKA! 2023,AT&T Next Gen TV Hackathon,Northumbrian Water Data Hacks #IF2021,DandyHacks'22
Kimberly Maynard,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Laurie Wallace,API World Hackathon 2022,Technica 2021,UE Hackathon at NYIT,The GoldenHack,Investment Week La Hackathon 2023 
Janice Johnston,DigiEduHack Barcelona,SFU Engineering Competition 2021,DivHacks,The GoldenHack,HackUiet 2021
Collin Lopez,Metaverse Hackathon,Awaiken Hacks 2023,HarvestHacks Bay Area,HealthCareCodings Medhackathon,Prototypical
Mary Alvarez,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Peter Mcdowell,Google’s Immersive Geospatial Challenge,Fitch 2022 Codeathon for Education,Hack The Bronx,AT&T 5G Hackathon,HACC 2022
Sarah Villanueva,Google’s Immersive Geospatial Challenge,Smart City Hack,Golden Hack: Impact Weekend,Prototypical,DigiEduHack Barcelona
Kimberly Myers,HB DApps Hackathon 2019,HECO Gaming Hackathon  2021,Kin Crypto Challenge,OEC: BUIDL IN METAFORCE Hackathon ,Game Oasis Hackathon San Francisco
Desiree Cain,Hack Your Learning - SchulichHacks 2023,SPARKATHON,HackLBS,Civiso Designathon 2022,The Hackathon 2021
Stephanie Lawrence,SF Global Progcomp,Legend Hacks,Random Power Hackathon,The Global Hackathon - LA Blockchain Week ,Thailand champion
Lauren Hayes,DeveloperWeek Austin 2021 Hackathon,Hacks for Humanity,GDST Cologne Hackathon,Metaverso Hackathon,Accenture Hackathon - Banking Revolution Edition
Whitney Stark, IoT Hack Day 2022,Stefanini Innovation Hackathon,IoT Hack Day 2019,HACKFEST 2019,Voicehacks Hackathon
Angela Salazar,API World Hackathon 2022,Kore.ai Botathon,Turn Language into Action: A Natural Language Hackathon for Good,SingleStore Database Hackathon ,LETS HACK 2020
Mr. Ryan Sanchez,API World Hackathon 2022,Cutie Hack 2020: Stay At Home,Post Covid Hack 2020,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021
Autumn Robinson,API World Hackathon 2022,McGill Physics Hackathon 2019,#ZiHack 10,SkyHack 3.0,HackWise 2020
Faith Cabrera,Google’s Immersive Geospatial Challenge,hackaTUM C0dev1d19,PoweringSTEMHacks2,Inisio Hacks,TigerHacks 2022
Charles Wolfe,Google’s Immersive Geospatial Challenge,HACC 2022,Presto Hacks,Hawaii Annual Code Challenge 2021,2022 AMD All Girl Online international Hackathon
Kenneth Kent,Awaiken Hacks 2023,Zoohackathon 2019 - Kota Kinabalu,NASA Space Apps Challenge Mountain View,GDST Cologne Hackathon,ChargerHacks 2023
Melanie Johnson,API World Hackathon 2022,Global Hack Week December Day 7,Global Hack Week December Day 5,hack::peel 2022,The Fidelity Hackathon
Lisa Johnston,CodeFest'21,UPitch 2019,HackMorelos 12da Edicion,2. Provinzial Rheinland Hackathon: Future of Insurance,The Brandeis Quant Club ML/AI Competition
Jacob Hooper,WildHacks,HackATL 2021,BioMedTech Baja Hackathon,Hack the Game of GO,theCoderSchool Fall 2022 Hackathon
Alex Woodward,Google’s Immersive Geospatial Challenge,Rose Hack 2023,hackUMBC Fall 2021,TechTogether Seattle ,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women
Caleb Clark,API World Hackathon 2022,Post Covid Hack 2020,Accenture Hackathon - Banking Revolution Edition,HackUTD VIII,The Global Hackathon - LA Blockchain Week 
Taylor Johnson,API World Hackathon 2022,2021 NY Artificial Intelligence Healthcare Entrepreneurship AIdeathon,Live || Hack 3ª Edição,VR Summit Hackathon,DemonHacks
Brian Green,API World Hackathon 2022,AWS Graviton Hackathon,LETS HACK 2020,EVMxIdeathon,Automate for Good
Matthew Bell,API World Hackathon 2022,AWS Data Exchange for APIs Challenge,The 6-week Smart Contract Hackathon,Snap Developer Challenge 2021,XDC DeFi Hackathon
Jonathan Williams,Google’s Immersive Geospatial Challenge,MLDA Deep Learning Week 2021 Hackathon,HR Hackathon: Embrace distributed teams and remote HR,Cutie Hack 2021,CODE WILD EGYPT: Wildlife Hackathon 
William Gonzalez,Codegeist Unleashed,HackRPI Fall 2020,Swiss Blockchain Hackathon 2021,Metis Ethereum Hackathon,DivHacks
Nicholas Massey,Google’s Immersive Geospatial Challenge,hackaTUM C0dev1d19,The Climate Change-Makers Challenge: 2022,Hack WashU,HackUIowa '23
Caroline Chambers,Network Effects Hackathon,NEAR MetaBUILD III Hackathon,NEW HORIZON,CodeUp-Hack-22,EVMxIdeathon
Amy Lowe,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Gloria King,Northumbrian Water Data Hacks #IF2021,CodeQuantum,NOVATHON,Encode Justice NY Hackathon,North Shore Hacks
Jessica Thompson,API World Hackathon 2022,DesignMerced,API World Hackathon 2021,5G Edge Computing Challenge with AWS,Codegeist 2022
Jason Carroll,INNOV8 Hackathon 2023,TRON Grand Hackathon - Season 3,HackBlue Cyber Hackathon,Kiva Fall 2021 Hackathon,CSI Hackathon
Emily Howard,API World Hackathon 2022,Polyana App 2020,Youth4Change Hackathon 2022,theCoderSchool Fall 2022 Hackathon,BusinessMeetsTech IdeaHack! 2022
Danielle Castro,QuackHacks Spring 2023,BusinessMeetsTech IdeaHack! 2022,FinHack 2,CSI Hackathon,Data Hackfest
Patrick Rogers,Liquid Hacks 3.0,Kent Hack Enough 2022,Steel Hacks 2023,Hack from the Past 2,INNOV8 Hackathon 2023
Douglas Allen,BostonHacks 2020,Hack Your Learning - SchulichHacks 2023,GovTech Hackathon 2021,Rehack ,The ELC Virtual Hackathon
Heather Roberts,HACK LPS,DeveloperWeek Austin 2021 Hackathon,#ZiHack 10,Garuda Hacks v2.0,Future of Forestry Hackathon
Travis Schultz,DemonHacks,TAMU Datathon 2020,TIQC x Code Resolve x Girls Who Code Hacks,YouthCodeX,Beantown Bash
Michelle Hughes,UiPath Innovation RPA Hackathon 2021,AI Hacks,"CryptoChicks Blockchain and AI Hackathon and Conference 2020 in Toronto, Canada",Disrupt Puerto Rico Hackathon,PropTech Challenge - presented by REBNY
Matthew Smith,Hack Brooklyn 2021,hackMCST VII,The Green Plan 2030 Challenge,Smart Aurangabad Hackathon ,CYHacks '22
George Allen,API World Hackathon 2022,AWS Data Exchange for APIs Challenge,The 6-week Smart Contract Hackathon,Snap Developer Challenge 2021,XDC DeFi Hackathon
Jamie Hutchinson,12th Named Data Networking (NDN) Hackathon,Dementia - Our Common Challenge,Earthify Hacks 2.0,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0,BlockHack Hackathon
Jennifer Morales,Hacky Winterland 2,CSI Hackathon,AR VR FEST HACKATHON,Eagle's Hack,TigerHacks 2022
Jennifer Bates,API World Hackathon 2022,CodeXplode: Ignite the Coding Revolution,Pega Community Hackathon 2022,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon
Jeremy Green,BostonHacks 2022,HACK-O-TOPIA,TAMU Datathon 2020,AR VR FEST HACKATHON,LEC Hacks
Joseph Freeman,BlockHack Hackathon,Technica 2021,Hack Cambridge Spyder Lite Hackathon,Legend Hacks,"Project Program - UW CSC, DSC"
Nicole Henson,API World Hackathon 2022,Inspire2Dev Summer Hackathon,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021
Eric Owens PhD,BusinessMeetsTech IdeaHack! 2022,GDSC Game Jam,ClockHacks,HackHolyoke 2021,NightHacks
Robin Lopez,Micro Hack 2023,Сarcheckvin,Castlethon 3.0,Women In Fintech,SDaCathon 2022 - Hack the Construction 
Miss Angela Swanson DVM,API World Hackathon 2022,VR Summit Hackathon,FOLLOW THE WHITE RABBIT HACKATHON 2021,12th Named Data Networking (NDN) Hackathon,Open Web House Puerto Vallarta
Michael Stewart,Hack for the World,AWS Health AI Hackathon,Finclusion Hackathon,Columbia Data Science Society Datathon Fall 2023,Rose Hack 2023
Mitchell Smith,2021 Calgary Youth Hackathon,Civiso Designathon 2022,Snap Spotlight Lensathon,QuHacks 2021,Genius Challenge
Kelsey Davis,SharkHack's MiniHack,Digital EduHack South Asia 2021,CodeOn 2023,Columbia DivHacks 2020,FHS.hacks()
