username,selectedThemes
Norma Fisher,"['18_Design', '24_Quantum', '10_Communication', '8_Voice skills', '14_COVID-19', '22_Open Ended', '4_Gaming', '5_AR/VR', '15_Music/Art', '2_DevOps', '19_Education', '7_IoT', '11_Productivity', '9_Cybersecurity', '1_Blockchain', '6_Machine Learning/AI', '23_Beginner Friendly', '3_Fintech', '16_Health', '26_Mobile', '20_E-commerce/Retail', '28_Databases', '12_Lifehacks', '17_Low/No Code', '27_Robotic Process Automation']"
Jorge Sullivan,"['20_E-commerce/Retail', '25_Web', '6_Machine Learning/AI', '3_Fintech', '27_Robotic Process Automation', '16_Health', '21_Enterprise', '15_Music/Art', '24_Quantum', '8_Voice skills', '23_Beginner Friendly', '1_Blockchain', '4_Gaming', '17_Low/No Code', '9_Cybersecurity', '11_Productivity', '22_Open Ended', '2_DevOps', '10_Communication']"
Elizabeth Woods,"['7_IoT', '22_Open Ended', '1_Blockchain', '28_Databases', '11_Productivity', '20_E-commerce/Retail', '12_Lifehacks', '25_Web', '9_Cybersecurity', '13_Social Good', '16_Health', '8_Voice skills', '10_Communication', '24_Quantum', '27_Robotic Process Automation', '2_DevOps', '26_Mobile', '5_AR/VR', '19_Education']"
Susan Wagner,"['19_Education', '28_Databases', '18_Design', '5_AR/VR', '20_E-commerce/Retail', '25_Web', '10_Communication', '22_Open Ended', '2_DevOps', '11_Productivity', '26_Mobile', '6_Machine Learning/AI', '14_COVID-19', '21_Enterprise', '15_Music/Art', '24_Quantum', '1_Blockchain', '9_Cybersecurity', '3_Fintech', '17_Low/No Code', '27_Robotic Process Automation', '4_Gaming', '16_Health', '7_IoT', '23_Beginner Friendly', '13_Social Good', '8_Voice skills']"
Peter Montgomery,"['3_Fintech', '25_Web', '28_Databases', '18_Design', '17_Low/No Code', '10_Communication', '7_IoT', '15_Music/Art', '23_Beginner Friendly', '4_Gaming', '12_Lifehacks', '11_Productivity', '5_AR/VR', '14_COVID-19', '13_Social Good', '2_DevOps', '21_Enterprise', '19_Education', '1_Blockchain', '8_Voice skills', '9_Cybersecurity']"
Theodore Mcgrath,"['18_Design', '6_Machine Learning/AI', '7_IoT', '10_Communication']"
Stephanie Collins,"['14_COVID-19', '5_AR/VR', '16_Health', '24_Quantum', '11_Productivity', '20_E-commerce/Retail', '12_Lifehacks', '15_Music/Art', '4_Gaming', '27_Robotic Process Automation', '18_Design', '7_IoT', '6_Machine Learning/AI', '1_Blockchain', '8_Voice skills', '10_Communication', '17_Low/No Code', '3_Fintech', '19_Education']"
Stephanie Sutton,"['23_Beginner Friendly', '18_Design', '11_Productivity', '22_Open Ended', '27_Robotic Process Automation', '16_Health', '13_Social Good', '24_Quantum', '7_IoT', '17_Low/No Code', '26_Mobile', '8_Voice skills']"
Brian Hamilton,"['23_Beginner Friendly', '19_Education', '27_Robotic Process Automation', '15_Music/Art', '3_Fintech', '12_Lifehacks', '6_Machine Learning/AI', '21_Enterprise', '5_AR/VR', '7_IoT', '25_Web', '17_Low/No Code', '26_Mobile', '16_Health', '20_E-commerce/Retail', '9_Cybersecurity', '2_DevOps', '22_Open Ended', '11_Productivity', '28_Databases']"
Susan Levy,"['8_Voice skills', '11_Productivity', '23_Beginner Friendly']"
